YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF
2010,1,ALBANIA,LA,8318.42,821
2010,1,ARMENIA,UD,13456.675999999999,662
2010,1,AUSTRIA,LO,171535.234,14972
2010,1,BELGIUM,EB,309092.82299999997,11546
2010,1,BOSNIA AND HERZEGOVINA,LQ,2887.9949999999999,478
2010,1,BULGARIA,LB,34760.875999999997,2177
2010,1,CANARY ISLANDS,GC,254688.43900000001,13494
2010,1,CROATIA,LD,12141.849,1956
2010,1,CYPRUS,LC,47704.343999999997,1789
2010,1,CZECHIA,LK,68318.752999999997,6256
2010,1,DENMARK*,EK,184601.73,12996
2010,1,FINLAND,EF,160290.69200000001,10592
2010,1,FRANCE,LF,1467158.577,68257
2010,1,GERMANY,ED,2067437.027,80421
2010,1,GREECE,LG,142515.50099999999,14377
2010,1,HUNGARY,LH,48575.838000000003,3851
2010,1,ICELAND,BI,12064.188,1117
2010,1,IRELAND,EI,150363.82699999999,8920
2010,1,ITALY,LI,899660.52899999998,60178
2010,1,KOSOVO,BK,7746.9070000000002,599
2010,1,LIECHTENSTEIN,LS,0.34699999999999998,1
2010,1,LITHUANIA,EY,12874.972,1414
2010,1,LUXEMBOURG,EL,89324.883000000002,1916
2010,1,MALTA,LM,16447.511999999999,909
2010,1,"MOLDOVA, REPUBLIC OF",LU,4626.2960000000003,448
2010,1,MONACO,LN,6.2149999999999999,14
2010,1,MONTENEGRO,LY,4208.6559999999999,577
2010,1,NETHERLANDS,EH,718585.19,18317
2010,1,NORTH MACEDONIA,LW,3648.76,440
2010,1,NORWAY*,EN,192277.83600000001,28332
2010,1,POLAND,EP,107673.58,10530
2010,1,PORTUGAL*,LP,226468.511,10881
2010,1,ROMANIA,LR,64663.55,6182
2010,1,SERBIA,LY,14327.665999999999,1555
2010,1,SLOVAKIA,LZ,9049.3220000000001,1291
2010,1,SLOVENIA,LJ,7481.5150000000003,1308
2010,1,SPAIN,LE,940913.45600000001,52687
2010,1,SWEDEN,ES,201565.851,18178
2010,1,SWITZERLAND,LS,358901.79200000002,19656
2010,1,TÜRKIYE,LT,490284.61300000001,25816
2010,1,UNITED KINGDOM*,EG,2367956.0249999999,82530
2010,2,ALBANIA,LA,6279.4740000000002,668
2010,2,ARMENIA,UD,11213.871999999999,558
2010,2,AUSTRIA,LO,157908.07399999999,14307
2010,2,BELGIUM,EB,296550.79700000002,11404
2010,2,BOSNIA AND HERZEGOVINA,LQ,2482.9209999999998,451
2010,2,BULGARIA,LB,27457.116999999998,1964
2010,2,CANARY ISLANDS,GC,227947.19099999999,11951
2010,2,CROATIA,LD,10904.556,1783
2010,2,CYPRUS,LC,43851.885999999999,1620
2010,2,CZECHIA,LK,61726.203000000001,5815
2010,2,DENMARK*,EK,176059.29199999999,13106
2010,2,FINLAND,EF,149032.86199999999,11028
2010,2,FRANCE,LF,1322141.9550000001,65510
2010,2,GERMANY,ED,1894780.3319999999,80004
2010,2,GREECE,LG,121075.499,12138
2010,2,HUNGARY,LH,44322.036,3662
2010,2,ICELAND,BI,10586.769,1183
2010,2,IRELAND,EI,134731.068,8518
2010,2,ITALY,LI,815751.94400000002,57901
2010,2,KOSOVO,BK,6320.1040000000003,518
2010,2,LITHUANIA,EY,12228.326999999999,1389
2010,2,LUXEMBOURG,EL,89562.606,1914
2010,2,MALTA,LM,14674.217000000001,823
2010,2,"MOLDOVA, REPUBLIC OF",LU,3789.6309999999999,382
2010,2,MONACO,LN,5.6260000000000003,14
2010,2,MONTENEGRO,LY,3385.183,523
2010,2,NETHERLANDS,EH,652994.27300000004,18106
2010,2,NORTH MACEDONIA,LW,2521.933,349
2010,2,NORWAY*,EN,187177.79199999999,27889
2010,2,POLAND,EP,99531.672000000006,10140
2010,2,PORTUGAL*,LP,201179.88800000001,9971
2010,2,ROMANIA,LR,59045.256999999998,5854
2010,2,SERBIA,LY,12615.653,1458
2010,2,SLOVAKIA,LZ,8202.3389999999999,1191
2010,2,SLOVENIA,LJ,6999.2860000000001,1231
2010,2,SPAIN,LE,876956.53099999996,52810
2010,2,SWEDEN,ES,198829.31899999999,20050
2010,2,SWITZERLAND,LS,321563.61700000003,18895
2010,2,TÜRKIYE,LT,460389.99599999998,23862
2010,2,UNITED KINGDOM*,EG,2205308.9300000002,83403
2010,3,ALBANIA,LA,7085.2520000000004,754
2010,3,ARMENIA,UD,13872.043,694
2010,3,AUSTRIA,LO,178533.13,16547
2010,3,BELGIUM,EB,343344.38,13509
2010,3,BOSNIA AND HERZEGOVINA,LQ,2950.4479999999999,522
2010,3,BULGARIA,LB,30412.445,2201
2010,3,CANARY ISLANDS,GC,257478.16699999999,14235
2010,3,CROATIA,LD,14382.412,2186
2010,3,CYPRUS,LC,58812.400999999998,2134
2010,3,CZECHIA,LK,73533.375,7070
2010,3,DENMARK*,EK,200270.99799999999,15481
2010,3,FINLAND,EF,171467.106,12526
2010,3,FRANCE,LF,1556602.4709999999,82478
2010,3,GERMANY,ED,2307261.0589999999,98446
2010,3,GREECE,LG,147184.60699999999,14730
2010,3,HUNGARY,LH,55853.239000000001,4452
2010,3,ICELAND,BI,10782.895,1244
2010,3,IRELAND,EI,161997.299,9831
2010,3,ITALY,LI,954000.91700000002,68340
2010,3,KOSOVO,BK,7123.5,593
2010,3,LIECHTENSTEIN,LS,0.34699999999999998,1
2010,3,LITHUANIA,EY,16018.592000000001,1684
2010,3,LUXEMBOURG,EL,100978.65399999999,2279
2010,3,MALTA,LM,19354.706999999999,1018
2010,3,"MOLDOVA, REPUBLIC OF",LU,4337.759,431
2010,3,MONACO,LN,11.685,29
2010,3,MONTENEGRO,LY,3880.8159999999998,611
2010,3,NETHERLANDS,EH,747928.70499999996,22367
2010,3,NORTH MACEDONIA,LW,3142.3879999999999,421
2010,3,NORWAY*,EN,211578.97500000001,31034
2010,3,POLAND,EP,122098.845,12035
2010,3,PORTUGAL*,LP,235014.076,11664
2010,3,ROMANIA,LR,67186.994999999995,6948
2010,3,SERBIA,LY,14390.773999999999,1749
2010,3,SLOVAKIA,LZ,8732.43,1365
2010,3,SLOVENIA,LJ,7967.1090000000004,1520
2010,3,SPAIN,LE,1030351.451,61548
2010,3,SWEDEN,ES,232268.69699999999,23782
2010,3,SWITZERLAND,LS,359183.10800000001,21172
2010,3,TÜRKIYE,LT,550764.21699999995,28010
2010,3,UNITED KINGDOM*,EG,2489660.2400000002,94268
2010,4,ALBANIA,LA,7131.174,753
2010,4,ARMENIA,UD,14906.83,710
2010,4,AUSTRIA,LO,168227.27600000001,14177
2010,4,BELGIUM,EB,284626.40399999998,11033
2010,4,BOSNIA AND HERZEGOVINA,LQ,3239.4720000000002,498
2010,4,BULGARIA,LB,30851.687000000002,2098
2010,4,CANARY ISLANDS,GC,219628.848,12926
2010,4,CROATIA,LD,20387.295999999998,2609
2010,4,CYPRUS,LC,67261.343999999997,2340
2010,4,CZECHIA,LK,71708.119000000006,6424
2010,4,DENMARK*,EK,160932.06400000001,11709
2010,4,FINLAND,EF,123628.73299999999,8811
2010,4,FRANCE,LF,1416960.0020000001,72001
2010,4,GERMANY,ED,1964997.841,79768
2010,4,GREECE,LG,182136.141,16357
2010,4,HUNGARY,LH,51470.773000000001,4107
2010,4,ICELAND,BI,9705.8449999999993,1071
2010,4,IRELAND,EI,130188.61599999999,7747
2010,4,ITALY,LI,930763.91799999995,65447
2010,4,KOSOVO,BK,6471.7809999999999,518
2010,4,LIECHTENSTEIN,LS,0.34699999999999998,1
2010,4,LITHUANIA,EY,14250.387000000001,1498
2010,4,LUXEMBOURG,EL,91674.926000000007,1963
2010,4,MALTA,LM,24011.921999999999,1274
2010,4,"MOLDOVA, REPUBLIC OF",LU,4711.7280000000001,464
2010,4,MONACO,LN,24.526,56
2010,4,MONTENEGRO,LY,4443.8410000000003,665
2010,4,NETHERLANDS,EH,658222.875,19627
2010,4,NORTH MACEDONIA,LW,3226.16,414
2010,4,NORWAY*,EN,173875.44200000001,25043
2010,4,POLAND,EP,110356.99400000001,10028
2010,4,PORTUGAL*,LP,261426.46799999999,12398
2010,4,ROMANIA,LR,65804.326000000001,6671
2010,4,SERBIA,LY,13393.834000000001,1639
2010,4,SLOVAKIA,LZ,8535.8420000000006,1177
2010,4,SLOVENIA,LJ,6601.7160000000003,1082
2010,4,SPAIN,LE,1143950.203,64157
2010,4,SWEDEN,ES,178956.47899999999,16803
2010,4,SWITZERLAND,LS,312859.39600000001,17001
2010,4,TÜRKIYE,LT,599237.14099999995,29441
2010,4,UNITED KINGDOM*,EG,2138337.8829999999,77403
2010,5,ALBANIA,LA,7697.4269999999997,813
2010,5,ARMENIA,UD,18961.725999999999,889
2010,5,AUSTRIA,LO,199480.48199999999,16877
2010,5,BELGIUM,EB,350393.69400000002,14142
2010,5,BOSNIA AND HERZEGOVINA,LQ,3676.7629999999999,584
2010,5,BULGARIA,LB,44699.7,2930
2010,5,CANARY ISLANDS,GC,191647.22399999999,12832
2010,5,CROATIA,LD,36060.964,3958
2010,5,CYPRUS,LC,98539.358999999997,3149
2010,5,CZECHIA,LK,87794.346000000005,7942
2010,5,DENMARK*,EK,211545.853,15706
2010,5,FINLAND,EF,161189.12100000001,12222
2010,5,FRANCE,LF,1681384.446,86887
2010,5,GERMANY,ED,2488474.2480000001,104083
2010,5,GREECE,LG,323494.10600000003,21055
2010,5,HUNGARY,LH,61226.889000000003,4848
2010,5,ICELAND,BI,10315.86,1126
2010,5,IRELAND,EI,166328.38200000001,9938
2010,5,ITALY,LI,1087672.1310000001,77766
2010,5,KOSOVO,BK,8411.5859999999993,642
2010,5,LITHUANIA,EY,18205.288,1882
2010,5,LUXEMBOURG,EL,112354.68799999999,2381
2010,5,MALTA,LM,29399.591,1558
2010,5,"MOLDOVA, REPUBLIC OF",LU,6333.0370000000003,629
