year,country_code,citl_information,value,unit,version
2012,AT,1. Total allocated allowances (EUA or EUAA),682958.3091077826,units,81
2013,AT,1. Total allocated allowances (EUA or EUAA),565298,units,81
2014,AT,1. Total allocated allowances (EUA or EUAA),761298,units,81
2015,AT,1. Total allocated allowances (EUA or EUAA),900777,units,81
2016,AT,1. Total allocated allowances (EUA or EUAA),679625,units,81
2017,AT,1. Total allocated allowances (EUA or EUAA),653991,units,81
2018,AT,1. Total allocated allowances (EUA or EUAA),671991,units,81
2019,AT,1. Total allocated allowances (EUA or EUAA),2492937,units,81
2020,AT,1. Total allocated allowances (EUA or EUAA),2587224,units,81
2021,AT,1. Total allocated allowances (EUA or EUAA),2360260,units,81
2012,AT,1.1 Freely allocated allowances,1932411,units,81
2013,AT,1.1 Freely allocated allowances,565298,units,81
2014,AT,1.1 Freely allocated allowances,565298,units,81
2015,AT,1.1 Freely allocated allowances,565277,units,81
2016,AT,1.1 Freely allocated allowances,557125,units,81
2017,AT,1.1 Freely allocated allowances,557491,units,81
2018,AT,1.1 Freely allocated allowances,557491,units,81
2019,AT,1.1 Freely allocated allowances,2378437,units,81
2020,AT,1.1 Freely allocated allowances,2477724,units,81
2021,AT,1.1 Freely allocated allowances,2279760,units,81
2012,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),1932411,units,81
2013,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),565298,units,81
2014,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),565298,units,81
2015,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),565277,units,81
2016,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),557125,units,81
2017,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),557491,units,81
2018,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),557491,units,81
2019,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),2378437,units,81
2020,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),2392877,units,81
2021,AT,1.1.1 Free allocation to existing entities (Art. 10a(1)),2196773,units,81
2020,AT,1.1.4 Swiss Free Allocated allowances for aircraft operators,84847,units,81
2021,AT,1.1.4 Swiss Free Allocated allowances for aircraft operators,82987,units,81
2012,AT,1.2 Correction to freely allocated allowances (not reflected in EUTL),-1249452.690892217,units,81
2012,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),196000,units,81
2015,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),335500,units,81
2016,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),122500,units,81
2017,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),96500,units,81
2018,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),114500,units,81
2019,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),114500,units,81
2020,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),109500,units,81
2021,AT,1.3 Allowances auctioned or sold (EUAs and EUAAs),80500,units,81
2012,AT,2. Verified emissions,1227373,tonne of CO2 equ.,81
2013,AT,2. Verified emissions,1017409,tonne of CO2 equ.,81
2014,AT,2. Verified emissions,1028211,tonne of CO2 equ.,81
2015,AT,2. Verified emissions,1022489,tonne of CO2 equ.,81
2016,AT,2. Verified emissions,1045372,tonne of CO2 equ.,81
2017,AT,2. Verified emissions,849011,tonne of CO2 equ.,81
2018,AT,2. Verified emissions,1246921,tonne of CO2 equ.,81
2019,AT,2. Verified emissions,3808809,tonne of CO2 equ.,81
2020,AT,2. Verified emissions,1232596,tonne of CO2 equ.,81
2021,AT,2. Verified emissions,1615585,tonne of CO2 equ.,81
2012,AT,2.1 EU-ETS Verified Emission,1227373,tonne of CO2 equ.,81
2013,AT,2.1 EU-ETS Verified Emission,1017409,tonne of CO2 equ.,81
2014,AT,2.1 EU-ETS Verified Emission,1028211,tonne of CO2 equ.,81
2015,AT,2.1 EU-ETS Verified Emission,1022489,tonne of CO2 equ.,81
2016,AT,2.1 EU-ETS Verified Emission,1045372,tonne of CO2 equ.,81
2017,AT,2.1 EU-ETS Verified Emission,849011,tonne of CO2 equ.,81
2018,AT,2.1 EU-ETS Verified Emission,1246921,tonne of CO2 equ.,81
2019,AT,2.1 EU-ETS Verified Emission,3808809,tonne of CO2 equ.,81
2020,AT,2.1 EU-ETS Verified Emission,1197863,tonne of CO2 equ.,81
2021,AT,2.1 EU-ETS Verified Emission,1566370,tonne of CO2 equ.,81
2020,AT,2.2 Swiss Verified Emissions for aircraft operators,34733,tonne of CO2 equ.,81
2021,AT,2.2 Swiss Verified Emissions for aircraft operators,49215,tonne of CO2 equ.,81
2012,AT,4. Total surrendered units,1226144,units,81
2013,AT,4. Total surrendered units,1286,units,81
2014,AT,4. Total surrendered units,2042692,units,81
2015,AT,4. Total surrendered units,1004530,units,81
2016,AT,4. Total surrendered units,1064301,units,81
2017,AT,4. Total surrendered units,848953,units,81
2018,AT,4. Total surrendered units,1198466,units,81
2019,AT,4. Total surrendered units,3857439,units,81
2020,AT,4. Total surrendered units,1232596,units,81
2021,AT,4. Total surrendered units,1614744,units,81
2012,AT,4.1 Surrendered EU allowances (EUAs and EUAAs),1045590,units,81
2013,AT,4.1 Surrendered EU allowances (EUAs and EUAAs),1286,units,81
