year,member_state,verified_tco2,free_allocation_tco2,source
2012,AT,1227373.0,682958.309,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,BE,2204739.0,1774950.369,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,BG,317913.0,261881.157,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,CY,263367.0,275834.183,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,CZ,907820.0,798821.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,DE,15930455.0,33265369.757,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,DK,1277015.0,1045920.279,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,EE,92713.0,35249.306,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,ES,7727464.0,6663551.335,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,FI,1186065.0,782944.809,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,FR,9832156.0,12986777.088,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,GB,9645333.0,-31268110.545,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,GR,792521.0,691074.631,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,HR,130931.0,66442.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,HU,1158490.0,1085442.437,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,IE,9333946.0,10606107.787,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,IS,372642.0,209720.417,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,IT,6058222.0,12825297.335,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,LT,100298.0,55953.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,LU,1631568.0,2311181.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,LV,306499.0,221198.042,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,MT,227826.0,197164.21,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,NL,4175876.0,6310639.934,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,NO,1963425.0,1014342.003,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,PL,641424.0,254866.002,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,PT,1519494.0,773001.444,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,RO,511204.0,335568.343,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,SE,4371631.0,3151747.869,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,SI,71482.0,44555.759,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2012,SK,54387.0,55051.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,AT,1017409.0,565298.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,BE,1237104.0,588185.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,BG,252485.0,198516.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,CY,164361.0,250551.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,CZ,416240.0,374780.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,DE,8828355.0,5201208.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,DK,560393.0,369187.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,EE,74763.0,33304.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,ES,4737554.0,2981138.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,FI,893377.0,493048.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,FR,4153800.0,2103332.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,GB,6064173.0,4103267.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,GR,735486.0,607343.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,HR,124782.0,62717.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,HU,1097638.0,740143.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,IE,7729631.0,5317831.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,IS,364662.0,194379.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,IT,4809210.0,2686323.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,LT,100603.0,12753.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,LU,215715.0,96746.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,LV,283909.0,198868.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,MT,219796.0,177402.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,NL,2204714.0,1246044.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,NO,2103094.0,894012.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,PL,616587.0,230749.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
