iso,YEAR,MONTH,segment,nb_flights,co2_t,co2_per_flight
AL,2019,1,business,406,243.9999999999999,0.6009852216748766
AL,2019,1,cargo,489,1837.5000000000007,3.757668711656443
AL,2019,1,lowcost,4814,5466.499999999997,1.1355421686746983
AL,2019,1,mainline,19218,15966.199999999995,0.830794047247372
AL,2019,1,other,2037,1349.600000000001,0.662542955326461
AL,2019,1,regional,864,429.7,0.49733796296296295
AL,2019,2,business,771,232.69999999999982,0.30181582360570663
AL,2019,2,cargo,569,2208.999999999999,3.8822495606326872
AL,2019,2,lowcost,3969,4829.5,1.2168052406147645
AL,2019,2,mainline,12322,15064.10000000002,1.2225369258237315
AL,2019,2,other,576,1062.0000000000005,1.8437500000000009
AL,2019,2,regional,849,430.79999999999995,0.5074204946996466
AL,2019,3,business,543,315.50000000000006,0.5810313075506447
AL,2019,3,cargo,636,2768.0,4.352201257861635
AL,2019,3,lowcost,4567,5590.299999999997,1.224063936938909
AL,2019,3,mainline,8580,18332.100000000013,2.136608391608393
AL,2019,3,other,2137,1214.2,0.5681796911558259
AL,2019,3,regional,1062,482.0,0.4538606403013183
AL,2019,4,business,607,364.29999999999995,0.6001647446457989
AL,2019,4,cargo,974,2051.400000000001,2.1061601642710484
AL,2019,4,lowcost,7116,9069.399999999998,1.2745081506464302
AL,2019,4,mainline,16827,18778.699999999986,1.1159862126344557
AL,2019,4,other,2245,2032.3000000000004,0.9052561247216038
AL,2019,4,regional,1004,516.8999999999999,0.514840637450199
AL,2019,5,business,2145,428.90000000000015,0.19995337995338003
AL,2019,5,cargo,532,1844.0999999999997,3.466353383458646
AL,2019,5,lowcost,33173,13907.700000000023,0.4192475808639563
AL,2019,5,mainline,25617,19088.30000000005,0.7451418979583889
AL,2019,5,other,3473,3151.000000000001,0.9072847682119208
AL,2019,5,regional,1276,697.3000000000001,0.546473354231975
AL,2019,6,business,2281,671.2999999999996,0.2943007452871546
AL,2019,6,cargo,970,1850.7999999999995,1.9080412371134015
AL,2019,6,lowcost,21951,16620.2,0.757150015944604
