country,year,month,airfare_index,source
BE,2010,1,94.43,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,2,97.72,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,3,95.25,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,4,94.02,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,5,96.7,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,6,94.07,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,7,92.68,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,8,93.65,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,9,94.88,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,10,94.69,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,11,95.19,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2010,12,95.36,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,1,95.3,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,2,99.47,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,3,96.36,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,4,94.46,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,5,96.48,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,6,95.02,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,7,94.92,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,8,94.88,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,9,95.16,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,10,95.14,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,11,96.06,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2011,12,96.72,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,1,97.22,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,2,101.68,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,3,98.35,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,4,97.53,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,5,99.23,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,6,97.45,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,7,96.8,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,8,96.47,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,9,97.11,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,10,97.58,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,11,97.64,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2012,12,98.31,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2013,1,98.38,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2013,2,99.88,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
