STATE_NAME,STATE_CODE,YEAR,MONTH,MOM_GROWTH_CO2,id
Albania,LA,2025,12,1.3834313068692157,ALB
Armenia,UD,2025,12,0.7572377338172185,ARM
Austria,LO,2025,12,0.00974518952860337,AUT
Belgium,EB,2025,12,0.29607902240732287,BEL
Bosnia and Herzegovina,LQ,2025,12,0.41966549948360576,BIH
Bulgaria,LB,2025,12,0.060505464326088054,BGR
Canary Islands,GC,2025,12,0.19194554094719662,CANY
Croatia,LD,2025,12,0.2268079680080708,HRV
Cyprus,LC,2025,12,0.17133047118187084,CYP
Czechia,LK,2025,12,0.1860875487773217,CZE
Denmark,EK,2025,12,0.04541010887620245,DNK
Estonia,EE,2025,12,0.15341421855633497,EST
Finland,EF,2025,12,-0.07125601706409479,FIN
France,LF,2025,12,0.05480578250615009,FRA
Georgia,UG,2025,12,1.4737458531457008,GEO
Germany,ED,2025,12,-0.049485760669899626,DEU
Greece,LG,2025,12,0.24957918332640228,GRC
Hungary,LH,2025,12,0.7394713048784043,HUN
Iceland,BI,2025,12,0.1374334379838904,ISL
Ireland,EI,2025,12,0.19640982519220818,IRL
Italy,LI,2025,12,0.10087756201126741,ITA
Kosovo,BK,2025,12,0.9106035542878572,KOS
Latvia,EV,2025,12,-0.05310581940703929,LVA
Lithuania,EY,2025,12,0.11679323606887837,LTU
Luxembourg,EL,2025,12,0.09029724865577338,LUX
Malta,LM,2025,12,0.2674396861108368,MLT
"Moldova, Republic of",LU,2025,12,1.412327444847882,MDA
Monaco,LN,2025,12,-0.18972346414969377,MCO
Montenegro,BY,2025,12,-0.23713771082418234,MNE
Netherlands,EH,2025,12,0.019396681383265557,NLD
North Macedonia,LW,2025,12,0.1957083323550084,MKD
Norway,EN,2025,12,-0.0903935995918208,NOR
Poland,EP,2025,12,0.39031450835362214,POL
Portugal,LP,2025,12,0.13385488768498233,PRT
Romania,LR,2025,12,0.32366646116327247,ROU
Serbia,LY,2025,12,0.5520867802039502,SRB
Slovakia,LZ,2025,12,0.4972990025696902,SVK
Slovenia,LJ,2025,12,0.1071330983997314,SVN
Spain,LE,2025,12,0.18512008471246366,ESP
Sweden,ES,2025,12,-0.29530491118518065,SWE
Switzerland,LS,2025,12,0.029971452463240844,CHE
Türkiye,LT,2025,12,0.32971086156963314,TUR
United Kingdom,EG,2025,12,0.005319087811863854,GBR
