State,Tonnes of CO₂,Number of flights,Date
ALBANIA,54430,3866,Jul 2025
ARMENIA,52029,2253,Jul 2025
AUSTRIA,285667,15984,Jul 2025
BELGIUM,564510,15684,Jul 2025
BOSNIA AND HERZEGOVINA,23723,1605,Jul 2025
BULGARIA,91353,5978,Jul 2025
CANARY ISLANDS,308512,19900,Jul 2025
CROATIA,125731,10726,Jul 2025
CYPRUS,126716,5733,Jul 2025
CZECHIA,154772,9247,Jul 2025
DENMARK,305668,16093,Jul 2025
ESTONIA,17912,1919,Jul 2025
FINLAND,199694,8258,Jul 2025
FRANCE,2145222,89763,Jul 2025
GEORGIA,92786,3836,Jul 2025
GERMANY,2644835,96199,Jul 2025
GREECE,817645,48651,Jul 2025
HUNGARY,161793,6801,Jul 2025
ICELAND,65902,2651,Jul 2025
IRELAND,358657,15673,Jul 2025
ITALY,1708129,94738,Jul 2025
KOSOVO,24471,1628,Jul 2025
LATVIA,38345,3022,Jul 2025
LITHUANIA,38356,2856,Jul 2025
LUXEMBOURG,165306,3297,Jul 2025
MALTA,58276,3784,Jul 2025
"MOLDOVA, REPUBLIC OF",39339,2448,Jul 2025
MONACO,60,98,Jul 2025
MONTENEGRO,25070,2149,Jul 2025
NETHERLANDS,961892,29702,Jul 2025
NORTH MACEDONIA,17477,1356,Jul 2025
NORWAY,274679,28418,Jul 2025
POLAND,441164,27476,Jul 2025
PORTUGAL,601163,27032,Jul 2025
ROMANIA,162411,11392,Jul 2025
SERBIA,67356,4943,Jul 2025
SLOVAKIA,27698,2208,Jul 2025
SLOVENIA,11323,1362,Jul 2025
SPAIN,2078714,98688,Jul 2025
SWEDEN,214949,15681,Jul 2025
SWITZERLAND,542873,22972,Jul 2025
TURKIYE,2115776,80943,Jul 2025
UNITED KINGDOM,3422090,112496,Jul 2025
