iso,YEAR,MONTH,CO2_t,flights,n_source,ets_covered,co2_per_flight,ln_co2,ln_flights,ln_intensity,post2012,did
AL,2010,1,8318.42,821,1,0,10.132058465286237,9.026227611935083,6.710523109452428,2.3157045024826535,0,0
AL,2010,2,6279.474,668,1,0,9.40041017964072,8.745041497992567,6.504288173536645,2.2407533244559215,0,0
AL,2010,3,7085.252,754,1,0,9.396885941644562,8.865770719593874,6.625392368007956,2.240378351585918,0,0
AL,2010,4,7131.174,753,1,0,9.470350597609562,8.872231156235454,6.6240652277998935,2.2481659284355606,0,0
AL,2010,5,7697.427,813,1,0,9.467929889298892,8.948641396155114,6.70073110954781,2.247910286607304,0,0
AL,2010,6,8689.703,910,1,0,9.549124175824176,9.069894040460193,6.813444599510896,2.256449440949298,0,0
AL,2010,7,11910.345,1149,1,0,10.36583550913838,9.385162629184212,7.046647277848756,2.338515351335455,0,0
AL,2010,8,14275.452,1336,1,0,10.685218562874251,9.566296697770737,7.197435354096591,2.368861343674145,0,0
AL,2010,9,9341.757,958,1,0,9.751312108559498,9.142249629163054,6.86484777797086,2.2774018511921925,0,0
AL,2010,10,7598.978,827,1,0,9.188607013301088,8.935769043547815,6.717804695023691,2.217964348524124,0,0
AL,2010,11,6064.878,669,1,0,9.065587443946187,8.71026970575951,6.505784060128229,2.204485645631281,0,0
AL,2010,12,7869.181,810,1,0,9.715038271604937,8.970709269922502,6.697034247666484,2.2736750222560174,0,0
AL,2011,1,8244.012,834,1,0,9.884906474820145,9.017242397613366,6.726233402358747,2.2910089952546193,0,0
AL,2011,2,6688.871,693,1,0,9.652050505050505,8.808200379538512,6.541029999189903,2.2671703803486087,0,0
AL,2011,3,7381.194,793,1,0,9.307936948297604,8.906690693126038,6.675823221634848,2.2308674714911896,0,0
AL,2011,4,8812.214,910,1,0,9.683751648351649,9.083893992693175,6.813444599510896,2.27044939318228,0,0
AL,2011,5,8711.135,935,1,0,9.31672192513369,9.072357371345458,6.840546529288687,2.2318108420567713,0,0
AL,2011,6,9752.398,1010,1,0,9.655839603960395,9.185268482469414,6.917705609835305,2.267562872634109,0,0
AL,2011,7,12597.761,1220,1,0,10.326033606557377,9.441274378736637,7.106606137727303,2.3346682410093353,0,0
AL,2011,8,14164.2,1332,1,0,10.633783783783784,9.558472933437102,7.194436851100335,2.364036082336768,0,0
AL,2011,9,11344.753,1083,1,0,10.475302862419207,9.336510625271337,6.9874902470009905,2.3490203782703474,0,0
AL,2011,10,9415.321,950,1,0,9.910864210526316,9.150093535040053,6.856461984594587,2.2936315504454665,0,0
AL,2011,11,7508.863,828,1,0,9.068675120772948,8.923839335160507,6.71901315438526,2.2048261807752474,0,0
AL,2011,12,8161.287,883,1,0,9.242680634201585,9.007157156109804,6.78332520060396,2.2238319555058434,0,0
AL,2012,1,8423.29,911,1,0,9.246201975850715,9.03875576726085,6.814542897259958,2.224212870000892,1,0
AL,2012,2,6361.767,713,1,0,8.922534361851332,8.758061447935187,6.569481420414296,2.1885800275208913,1,0
AL,2012,3,6644.979,748,1,0,8.883661764705883,8.801616810871472,6.617402977974478,2.1842138328969947,1,0
AL,2012,4,7189.96,750,1,0,9.586613333333334,8.880440887417281,6.620073206530356,2.2603676808869246,1,0
AL,2012,5,7241.472,799,1,0,9.063168961201502,8.887579779631212,6.683360945766275,2.2042188338649376,1,0
AL,2012,6,7957.181,833,1,0,9.552438175270108,8.981830070385378,6.725033642166843,2.256796428218535,1,0
AL,2012,7,10068.58,1003,1,0,10.038464606181456,9.21717496285972,6.910750787961936,2.306424174897785,1,0
AL,2012,8,10607.145,1072,1,0,9.894724813432836,9.269283109629814,6.977281341630747,2.292001767999067,1,0
AL,2012,9,9003.173,938,1,0,9.598265458422176,9.105332349740806,6.843749949006225,2.261582400734581,1,0
AL,2012,10,7572.133,841,1,0,9.003725326991676,8.932230076887054,6.734591659972948,2.1976384169141046,1,0
AL,2012,11,7578.828,825,1,0,9.186458181818182,8.933113849267665,6.715383386334681,2.2177304629329835,1,0
AL,2012,12,8024.168,831,1,0,9.6560385078219,8.990213266611025,6.7226297948554485,2.267583471755578,1,0
AL,2013,1,7291.4,785,1,0,9.288407643312102,8.894450850460384,6.665683717782408,2.2287671326779748,1,0
AL,2013,2,5918.586,660,1,0,8.967554545454545,8.685852847997173,6.492239835020471,2.193613012976702,1,0
AL,2013,3,6907.884,731,1,0,9.449909712722299,8.840418647000508,6.594413459749778,2.246005187250729,1,0
AL,2013,4,7270.235,755,1,0,9.629450331125827,8.891543894626869,6.626717749249025,2.264826145377844,1,0
AL,2013,5,7501.445,783,1,0,9.580389527458493,8.92285094763323,6.663132695990803,2.259718251642427,1,0
AL,2013,6,8278.194,868,1,0,9.537089861751152,9.021380107646534,6.7661917146603505,2.2551883929861845,1,0
AL,2013,7,10135.786,1016,1,0,9.976167322834646,9.22382760891306,6.923628628138427,2.3001989807746326,1,0
AL,2013,8,10862.406,1065,1,0,10.199442253521127,9.293063115911348,6.970730078143525,2.322333037767823,1,0
AL,2013,9,9112.053,951,1,0,9.581548895899054,9.11735332161581,6.85751406254539,2.259839259070419,1,0
AL,2013,10,8065.566,874,1,0,9.228336384439359,8.995359167886036,6.773080375655535,2.2222787922305,1,0
AL,2013,11,6492.396,717,1,0,9.05494560669456,8.77838692492574,6.57507584059962,2.203311084326121,1,0
AL,2013,12,8129.737,751,1,0,10.82521571238349,9.003283852695112,6.621405651764134,2.3818782009309776,1,0
AL,2014,1,8385.115,786,1,0,10.66808524173028,9.034213389130464,6.666956792429207,2.3672565967012567,1,0
AL,2014,2,6391.973,634,1,0,10.081976340694006,8.762798263407152,6.452048954437226,2.3107493089699256,1,0
AL,2014,3,7433.668,717,1,0,10.36773779637378,8.913774690188147,6.57507584059962,2.3386988495885257,1,0
AL,2014,4,7238.136,709,1,0,10.2089365303244,8.88711899366808,6.5638555265321274,2.323263467135953,1,0
AL,2014,5,7087.838,713,1,0,9.940866760168303,8.86613563649325,6.569481420414296,2.2966542160789554,1,0
AL,2014,6,7333.856,720,1,0,10.18591111111111,8.900256713859836,6.579251212010101,2.3210055018497346,1,0
AL,2014,7,9229.639,857,1,0,10.769707117852974,9.130175215139387,6.75343791859778,2.3767372965416067,1,0
AL,2014,8,10248.621,902,1,0,11.36210753880266,9.23489843893033,6.804614520062624,2.4302839188677066,1,0
AL,2014,9,10427.187,854,1,0,12.209820843091334,9.25217180883804,6.74993119378857,2.502240615049472,1,0
AL,2014,10,7605.408,755,1,0,10.073388079470199,8.936614852169528,6.626717749249025,2.3098971029205044,1,0
