year,ets_eur,jetfuel_usd_gal,source
2010,14.0,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2011,13.0,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2012,7.0,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2013,4.5,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2014,6.0,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2015,7.7,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2016,5.4,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2017,5.8,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2018,15.5,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2019,24.9,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2020,24.8,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2021,53.6,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard
2022,81.0,,EEX EUA auction clearing prices; World Bank Carbon Pricing Dashboard; ESMA EU Carbon Markets 2024 (2022-23 avg >EUR 80; EASA)
2023,83.0,,EEX auctions; ESMA EU Carbon Markets 2024 (spot avg EUR 83/tCO2)
2024,65.0,,EEX auctions; ESMA EU Carbon Markets 2025 (spot avg EUR 65/tCO2)
2025,74.0,,EEX auctions; ESMA EU Carbon Markets 2026 (spot avg EUR 74/tCO2); ICAP avg auction EUR 73.43
