country,year,gdp_pc,air_psgr,air_freight,tourism
AT,2010,46611.1393420232,13493793,357.885,22004000
AT,2011,51116.8953522042,14088251.6640568,383.371,23012000
AT,2012,48250.4059142637,14518841.0529716,322.104,24151000
AT,2013,50305.3545774973,15037454,326.399,24813000
AT,2014,51314.9722616322,15210489,369.955,25291000
AT,2015,43915.228020857,14718641,351.379,26728000
AT,2016,45061.4993920192,14724774,387.739,28121000
AT,2017,47163.7425775142,16171640,391.268,29460000
AT,2018,51194.0749841299,12935505,373.511,30816000
AT,2019,49885.9947355204,46476602,320.036527,31884000
AT,2020,48716.4098900349,13285414,74.560823,15091000
AT,2021,53648.6437976214,18901048,125.155714,
AT,2022,52336.7725223758,40099423,205.311831,
AT,2023,56579.504175468,46040215,207.835176,
AT,2024,58268.8787651601,,,
BE,2010,44197.393671162,7528586.30424955,1067.351,7186000
BE,2011,47760.8298776546,8638553.1,1241.293,7494000
BE,2012,44874.1709182123,9508165.31494536,1369.89982037629,7560000
BE,2013,46964.5946777056,9521421,1560.81076,7684000
BE,2014,47995.7786961339,10535219,1596.3044,7887000
BE,2015,40893.804537772,11473055,1479.9763156,8355000
BE,2016,41854.5498296444,12545322,1505.4059084,7481000
BE,2017,44035.3239358548,13676844,1574.378609,8385000
BE,2018,47487.2100392561,13639487,1285.344187,9119000
BE,2019,46716.6227467964,14279187,1353.426977272,9343000
BE,2020,45906.2875805246,3520849.848,1265.065943534,2584000
BE,2021,51658.238294958,5404284.479,1827.413026121,
BE,2022,50639.0264882739,10165432.504,1687.38336494,
BE,2023,55244.68145811,11390665.4189623,1831.4766060564,
BE,2024,56581.9375642531,,,
BG,2010,6854.2987837778,801840,2.13518,8374000
BG,2011,7849.98219737366,932868,2.29862,8713000
BG,2012,7432.33753378983,973062,1.93406,8867000
BG,2013,7796.37945241455,1013220,1.731,9192000
BG,2014,8070.01289303544,1060147,1.722,9409000
BG,2015,7269.02586513711,1063498,1.53095,9317000
BG,2016,7822.89886431732,1092333,1.76924764650873,10604000
BG,2017,8697.13373333715,1133069,1.71896,11596000
BG,2018,9849.88769989118,1022645,1.375,12368000
BG,2019,10354.2500414088,832828,1.257,12552000
BG,2020,10760.7616180234,443067,1.022,4973000
BG,2021,12966.8085197381,41126,0.058087,
BG,2022,13999.9113358453,643765,0.86071,
BG,2023,15854.0192893772,723825,0.626,
BG,2024,17596.9167621233,,,
CY,2010,31105.02734375,1583627,36.2141,2450000
CY,2011,32485.8046875,1263117,16.9749,2626000
CY,2012,28991.9296875,1285976,9.1093,2635000
CY,2013,27764.7265625,1211208,11.592996,2626000
CY,2014,26993.095703125,688368,6.588588,2558000
CY,2015,23088.4296875,23405,0.23060058,2780000
CY,2016,24280.044921875,224653,0.285895446767606,3286000
CY,2017,26247.46484375,711554,0.34031950189,3750000
CY,2018,29120.38671875,401408,0.021,4024000
CY,2019,29227.16796875,395436,0.14,4117000
CY,2020,28130.330078125,104559,0.328962,
CY,2021,32937.8359375,103016,0.105655573,
CY,2022,33231.05078125,440203,0.166,
CY,2023,36623.70703125,724062,0.369485,
CY,2024,38674.3125,,,
CZ,2010,20160.4355077059,5145187,17.987,21941000
CZ,2011,22049.1080788682,4902816,16.721,22810000
CZ,2012,20014.0354015165,3594882,11.102,25750000
CZ,2013,20260.4954999375,5186676,19.929,26332000
CZ,2014,20038.4163180257,5009995,30.81553,27166000
CZ,2015,17931.5987670768,3378028,26.71765,29604000
CZ,2016,18753.9686718096,4048658,25.294469,32519000
CZ,2017,20913.197632212,5450671,27.81465,34701000
CZ,2018,23705.9329811299,8851291,25.22637,36268000
CZ,2019,24062.7190013343,5446163.2,22.73254,37202000
CZ,2020,23472.8915454417,929888.181,4.323665454,
CZ,2021,27696.4619527544,1418032,0.47308,
CZ,2022,28282.2236715857,2176800,0.08832,
CZ,2023,31761.5944102491,2175763.454,0.040745454,
CZ,2024,31827.7552539413,,,
DE,2010,42396.9665976293,97330734.2807591,7487.48100076523,26875000
DE,2011,47630.9761883572,107042775.791182,7716.76190298526,28374000
DE,2012,44718.0159214069,105978474.526384,7236.98063027006,30411000
DE,2013,47206.8353514242,109062321.51578,7335.69940204315,31545000
DE,2014,48959.5991203133,112353098.59355,7184.14620802563,32999000
DE,2015,41929.7549110722,117222850,6986.405444999,34970000
DE,2016,42948.9381932694,116713587,6942.706331998,35555000
DE,2017,45553.9341495339,114160685,7901.65234423,37452000
DE,2018,48916.1686612154,109796202.17431,7969.86364,38881000
DE,2019,47656.199739747,109633750.727,7763.61921423928,39563000
DE,2020,47394.8734504469,25758450,9166.3712826,12449000
DE,2021,52349.2459994422,33073180,11533.04853603,
DE,2022,50506.5179638543,69045135,12857.217948,
DE,2023,54776.7668235491,80199572,12766.528681,
DE,2024,56103.7323182554,,,
DK,2010,58104.5445594981,,,26730000
DK,2011,61809.737898222,,,25811000
DK,2012,58443.7747103968,,,26402000
DK,2013,61377.5940590412,,,26516000
