country,year,gdp_pc,air_psgr,air_freight,tourism
ALB,2010,4149.14469936847,768533.0,0.0,2417000.0
ALB,2011,4465.70914328865,829778.923870707,0.0,2932000.0
ALB,2012,4280.93316338873,814339.730278696,0.0,3514000.0
ALB,2013,4542.92903556739,865848.0,0.0,3256000.0
ALB,2014,4793.59751131525,151632.0,,3673000.0
ALB,2015,4199.53912925398,,,4131000.0
ALB,2016,4457.63412207495,26634.0,,4736000.0
ALB,2017,5006.36012951959,204090.0,,5118000.0
ALB,2018,5897.65452588774,303137.0,0.0,5927000.0
ALB,2019,6069.43903131027,307741.0,0.0,6406000.0
ALB,2020,6027.91350716348,124714.0,,2658000.0
ALB,2021,7242.45513146613,193259.0,,
ALB,2022,7756.96188744253,332534.0,,
ALB,2023,9740.7023414631,374800.0,,
ALB,2024,11374.0085781236,,,
ARM,2010,3041.34450723339,704753.0,5.9795,684000.0
ARM,2011,3349.55309771906,392312.0,4.4857,758000.0
ARM,2012,3511.56399687426,364733.0,3.0115,963000.0
ARM,2013,3680.16692158886,45000.0,0.999996,1084000.0
ARM,2014,3852.11800610384,0.0,0.0,1204000.0
ARM,2015,3512.39350276709,,,1192000.0
ARM,2016,3524.42476874707,,,1260000.0
ARM,2017,3869.05373867752,,,1495000.0
ARM,2018,4196.00562301769,53259.0,0.0,1652000.0
ARM,2019,4597.22887399548,193668.0,0.3265,1894000.0
ARM,2020,4268.68093304583,54940.0,0.11692,375000.0
ARM,2021,4685.17997128509,179200.0,1.347896,
ARM,2022,6571.97445545099,268520.0,2.381267,
ARM,2023,8159.08720967996,1311506.0,15.680592,
ARM,2024,8556.21406956719,,,
AT,2010,46611.1393420232,13493793.0,357.885,22004000.0
AT,2011,51116.8953522042,14088251.6640568,383.371,23012000.0
AT,2012,48250.4059142637,14518841.0529716,322.104,24151000.0
AT,2013,50305.3545774973,15037454.0,326.399,24813000.0
AT,2014,51314.9722616322,15210489.0,369.955,25291000.0
AT,2015,43915.228020857,14718641.0,351.379,26728000.0
AT,2016,45061.4993920192,14724774.0,387.739,28121000.0
AT,2017,47163.7425775142,16171640.0,391.268,29460000.0
AT,2018,51194.0749841299,12935505.0,373.511,30816000.0
AT,2019,49885.9947355204,46476602.0,320.036527,31884000.0
AT,2020,48716.4098900349,13285414.0,74.560823,15091000.0
AT,2021,53648.6437976214,18901048.0,125.155714,
AT,2022,52336.7725223758,40099423.0,205.311831,
AT,2023,56579.504175468,46040215.0,207.835176,
AT,2024,58268.8787651601,,,
BE,2010,44197.393671162,7528586.30424955,1067.351,7186000.0
BE,2011,47760.8298776546,8638553.1,1241.293,7494000.0
BE,2012,44874.1709182123,9508165.31494536,1369.89982037629,7560000.0
BE,2013,46964.5946777056,9521421.0,1560.81076,7684000.0
BE,2014,47995.7786961339,10535219.0,1596.3044,7887000.0
BE,2015,40893.804537772,11473055.0,1479.9763156,8355000.0
BE,2016,41854.5498296444,12545322.0,1505.4059084,7481000.0
BE,2017,44035.3239358548,13676844.0,1574.378609,8385000.0
BE,2018,47487.2100392561,13639487.0,1285.344187,9119000.0
BE,2019,46716.6227467964,14279187.0,1353.426977272,9343000.0
BE,2020,45906.2875805246,3520849.848,1265.065943534,2584000.0
BE,2021,51658.238294958,5404284.479,1827.413026121,
BE,2022,50639.0264882739,10165432.504,1687.38336494,
BE,2023,55244.68145811,11390665.4189623,1831.4766060564,
BE,2024,56581.9375642531,,,
BG,2010,6854.2987837778,801840.0,2.13518,8374000.0
BG,2011,7849.98219737366,932868.0,2.29862,8713000.0
BG,2012,7432.33753378983,973062.0,1.93406,8867000.0
BG,2013,7796.37945241455,1013220.0,1.731,9192000.0
BG,2014,8070.01289303544,1060147.0,1.722,9409000.0
BG,2015,7269.02586513711,1063498.0,1.53095,9317000.0
BG,2016,7822.89886431732,1092333.0,1.76924764650873,10604000.0
BG,2017,8697.13373333715,1133069.0,1.71896,11596000.0
BG,2018,9849.88769989118,1022645.0,1.375,12368000.0
BG,2019,10354.2500414088,832828.0,1.257,12552000.0
BG,2020,10760.7616180234,443067.0,1.022,4973000.0
BG,2021,12966.8085197381,41126.0,0.058087,
BG,2022,13999.9113358453,643765.0,0.86071,
BG,2023,15854.0192893772,723825.0,0.626,
BG,2024,17596.9167621233,,,
BIH,2010,4506.47828548389,56485.161815801,0.00133914808477711,365000.0
BIH,2011,4982.69375768263,40182.4397667535,0.00107131846782169,392000.0
BIH,2012,4693.78899115381,24874.0896320184,0.000781857938806923,439000.0
