iso,psi,mu1,mu0,dY
AT,0.019177556489428593,0.06770454707643231,0.06770454707643231,0.0868821035658609
BE,-0.09617431439064879,0.10151663023695674,0.10151663023695674,0.0053423158463079545
BG,-0.022786759148242713,0.15602520552008395,0.15602520552008395,0.13323844637184123
CH,0.06271349280399091,0.07163346456461023,0.07163346456461023,0.13434695736860114
CY,-0.15397812312509876,0.13315989734373515,0.13315989734373515,-0.02081822578136361
CZ,-0.11769548922510761,0.16208842104820118,0.16208842104820118,0.04439293182309356
DE,-0.04742131168133562,0.06931402463706143,0.06931402463706143,0.021892712955725813
DK,0.010584423537765827,0.11340640641367601,0.11340640641367601,0.12399082995144184
EL,0.007374225504753487,0.09590799657294506,0.09590799657294506,0.10328222207769855
ES,-0.028814502403878173,0.09094075433539484,0.09094075433539484,0.06212625193151666
FI,-0.06409752628636312,0.13757515544968058,0.13757515544968058,0.07347762916331746
FR,-0.028610724304126936,0.07942377801842372,0.07942377801842372,0.050813053714296785
GB,0.03301498605737498,0.05404431422716536,0.05404431422716536,0.08705930028454034
HR,0.1762469529442702,0.13077296671555047,0.13077296671555047,0.3070199196598207
HU,-0.10773604547446836,0.16943758963936573,0.16943758963936573,0.06170154416489737
IE,0.13477571899745672,0.10448853467009993,0.10448853467009993,0.23926425366755666
IS,0.6831013796004868,0.06043386140153301,0.06043386140153301,0.7435352410020197
IT,-0.054403334811064324,0.09660918643128849,0.09660918643128849,0.042205851620224166
LI,-0.784708313083927,0.28284988397399047,0.28284988397399047,-0.5018584291099365
LT,0.23672951812454093,0.1953872027283535,0.1953872027283535,0.43211672085289443
LU,0.02993224166695528,0.11728067258599507,0.11728067258599507,0.14721291425295036
LV,-0.20009032516991182,0.28974107961580137,0.28974107961580137,0.08965075444588955
MT,0.04479029017909056,0.19553041969063387,0.19553041969063387,0.24032070986972442
NL,0.02245432604601591,0.06928498266370722,0.06928498266370722,0.09173930870972313
NO,0.12051272372755811,0.015973458581969024,0.015973458581969024,0.13648618230952714
PL,0.16543272704081868,0.15729743751085845,0.15729743751085845,0.32273016455167713
PT,0.16025085274329975,0.05800158857890358,0.05800158857890358,0.21825244132220334
RO,0.009317899639363775,0.19673591907724078,0.19673591907724078,0.20605381871660455
SE,-0.06561336816256955,0.15446939402978174,0.15446939402978174,0.0888560258672122
SI,-0.12792031247129604,0.09335655922666279,0.09335655922666279,-0.03456375324463323
SK,-0.24871204392253227,0.308020390279436,0.308020390279436,0.05930834635690374
