iso,cate,abs_rank
AT,-0.2422550685822272,17.0
BE,-0.26214282168455716,7.0
BG,-0.23094864350759786,22.0
CH,-0.23067827497180277,23.0
CY,-0.26852344159374536,6.0
CZ,-0.25261828120241436,12.0
DE,-0.25810613946274796,8.0
DK,-0.23320415970769526,21.0
EL,-0.23825503967690095,20.0
ES,-0.2482930811759697,15.0
FI,-0.24552445258284755,16.0
FR,-0.251052397814316,13.0
GB,-0.24221184987035416,18.0
HR,-0.2836897251591713,5.0
HU,-0.24839666843612074,14.0
IE,-0.20508869050864287,27.0
IS,-0.08209576676852992,31.0
IT,-0.25315171539823617,11.0
LI,-0.747388970185881,1.0
LT,-0.17239596791155534,30.0
LU,-0.22754023670732734,25.0
LV,-0.2560558788756302,10.0
MT,-0.2048310182642117,28.0
NL,-0.2410703844007974,19.0
NO,-0.32528331963485263,4.0
PL,-0.19636011767434325,29.0
PT,-0.21021352278799735,26.0
RO,-0.22766488759009,24.0
SE,-0.25624971511433203,9.0
SI,-0.3717074923281652,2.0
SK,-0.3469931268198287,3.0
