model,outcome,var,coef,se,p,lo,hi,N,n_units,R2
A1_did_trend,ln_co2,did,0.07885490039980947,0.03869831288816242,0.04158162961682012,0.00300760087654893,0.15470219992307,672,43,0.9857
A2_did_trend_ets,ln_co2,did,0.014640782784946627,0.03601865663784219,0.6843915965279406,-0.05595448699673862,0.08523605256663187,672,43,0.9869
A2_did_trend_ets,ln_co2,ets_eur,0.003330491722115964,0.0007563993101046021,1.0672150431963995e-05,0.00184797631638,0.004813007127851928,672,43,0.9869
A1_did_trend,ln_flights,did,-0.03320312501905365,0.03730215556851003,0.3734053367342971,-0.10631400647904353,0.039907756440936235,672,43,0.9836
A2_did_trend_ets,ln_flights,did,-0.06905512951758264,0.035434281532005986,0.05131661096944678,-0.13850504513836714,0.0003947861032018718,672,43,0.9842
A2_did_trend_ets,ln_flights,ets_eur,0.0018594790154981304,0.0006368342800643233,0.003501673612616559,0.0006113067624515627,0.003107651268544698,672,43,0.9842
A1_did_trend,ln_intensity,did,0.11205802541886481,0.022254968368777404,4.773715981439147e-07,0.06843908893898298,0.15567696189874664,672,43,0.9739
A2_did_trend_ets,ln_intensity,did,0.08369591230252504,0.01997456028806715,2.788003395020808e-05,0.04454649353088942,0.12284533107416067,672,43,0.9767
A2_did_trend_ets,ln_intensity,ets_eur,0.0014710127066178281,0.0003104291476911534,2.1515485850483326e-06,0.0008625827573917022,0.002079442655843954,672,43,0.9767
B1_twfe,ln_co2,did,-0.3656224944625467,0.08221048465910703,8.69179407742422e-06,-0.5267520835459791,-0.20449290537911427,672,43,0.9947
B2_twfe_noCovid,ln_co2,did,-0.32987599144604607,0.08051243446327988,4.181676067396921e-05,-0.4876774633017161,-0.17207451959037606,587,43,0.9953
B3_twfe_preCovidOnly(2010-2019),ln_co2,did,-0.3656224944625467,0.08221048465910703,8.69179407742422e-06,-0.5267520835459791,-0.20449290537911427,672,43,0.9947
B1_twfe,ln_flights,did,-0.2396853637592351,0.06917483561318247,0.0005303865973944379,-0.3752655501975515,-0.10410517732091876,672,43,0.9935
B2_twfe_noCovid,ln_flights,did,-0.2142579875006101,0.0739462851845929,0.0037617201772019155,-0.35919004325293996,-0.06932593174828022,587,43,0.9937
B3_twfe_preCovidOnly(2010-2019),ln_flights,did,-0.2396853637592351,0.06917483561318247,0.0005303865973944379,-0.3752655501975515,-0.10410517732091876,672,43,0.9935
B1_twfe,ln_intensity,did,-0.12593713070331203,0.06650994300345853,0.058290302312570416,-0.2562942236039025,0.004419962197278443,672,43,0.9814
B2_twfe_noCovid,ln_intensity,did,-0.1156180039454354,0.06621806204533291,0.08080762549968387,-0.2454030206803266,0.014167012789455813,587,43,0.9853
B3_twfe_preCovidOnly(2010-2019),ln_intensity,did,-0.12593713070331203,0.06650994300345853,0.058290302312570416,-0.2562942236039025,0.004419962197278443,672,43,0.9814
B3_twfe_preCovidOnly(2010-2019),ln_co2,did,-0.20745655501455768,0.08255461822992013,0.01197224910881167,-0.3692606335026549,-0.04565247652646043,415,43,0.9977
B3_twfe_preCovidOnly(2010-2019),ln_flights,did,-0.10884303861904165,0.06776826488167602,0.10825055119387349,-0.2416663970818972,0.02398031984381388,415,43,0.9973
B3_twfe_preCovidOnly(2010-2019),ln_intensity,did,-0.09861351639551491,0.06885510570725568,0.15208977464597573,-0.23356704373343437,0.03634001094240455,415,43,0.9872
C_twfe_gdp,ln_co2,did,-0.030948598316103377,0.031527583747458995,0.32627940677800393,-0.09274152698069336,0.030844330348486607,397,27,0.994
C_twfe_gdp,ln_co2,ln_gdp_pc,0.6482710356571616,0.1502271418957376,1.594062317525486e-05,0.35383124804112764,0.9427108232731956,397,27,0.994
C_twfe_gdp,ln_flights,did,-0.10196309949719665,0.038289514717434,0.0077458704667154425,-0.1770091693288836,-0.02691702966550967,397,27,0.9945
C_twfe_gdp,ln_flights,ln_gdp_pc,0.5396945922955224,0.15850703562304216,0.0006619748196884197,0.22902651117815243,0.8503626734128924,397,27,0.9945
