event_time,coef,se,p,lo,hi
-2,-0.019804574659765706,0.0194268293682423,0.3079919814621278,-0.05788046055532563,0.018271311235794216
0,-0.0054173845875293836,0.023731654991785096,0.8194311141481281,-0.05193057366495837,0.0410958044898996
1,0.007275964592756701,0.026889207779349483,0.7867059913643846,-0.04542591422758253,0.05997784341309593
2,0.06320254075885945,0.03326956831167494,0.05747115121230643,-0.0020046149132184887,0.1284096964309374
3,0.10320006570932594,0.03511324785421566,0.0032920560141493868,0.03437936453483492,0.17202076688381696
4,0.17039364817478564,0.041169786573129544,3.4912212235589604e-05,0.08970234924025104,0.2510849471093202
5,0.2733809920034336,0.04503632781338069,1.2772500206923746e-09,0.1851114114932679,0.3616505725135992
6,0.3561442477107333,0.047724719407371836,8.491588189471755e-14,0.26260551650000474,0.4496829789214618
7,0.39803323242334576,0.04591089235863929,4.332961182078295e-18,0.30804953690231757,0.48801692794437396
8,-0.5100086531071026,0.058479578857365655,2.754122033000911e-18,-0.6246265214986093,-0.39539078471559597
9,-0.17726727377545082,0.07859250569362913,0.02410046478630044,-0.3313057543897231,-0.023228793161178568
10,0.21320529280767175,0.06504923589559358,0.001046941110967578,0.08571113323045823,0.3406994523848853
11,0.3259179959534217,0.06685746027370344,1.0890844316217517e-06,0.19487978171914552,0.45695621018769783
12,0.46548824198399874,0.06899966058450112,1.5172600176692535e-11,0.3302513922928886,0.6007250916751089
13,0.5525880210508014,0.07624570841887508,4.2464750794216015e-13,0.40314917857406385,0.702026863527539
