model,outcome,var,coef,se,p,lo,hi,N,n_units,R2,note
H_lowcost share 2019,ln_co2,did_adj,-0.025838528070208866,0.14515928321230406,0.8587220253891469,-0.3103454951879745,0.25866843904755676,415,43,0.9978,interaction heterogeneity: lowcost share 2019
H_lowcost share 2019,ln_co2,x_lowcost,-0.7481379920313006,0.44165885051557346,0.09027909519873109,-1.6137734324951842,0.11749744843258292,415,43,0.9978,interaction heterogeneity: lowcost share 2019
H_lowcost share 2019,ln_flights,did_adj,0.017482266137010927,0.09916512099149274,0.8600625770694342,-0.17687779952887175,0.2118423318028936,415,43,0.9973,interaction heterogeneity: lowcost share 2019
H_lowcost share 2019,ln_flights,x_lowcost,-0.5203710305249326,0.2712096925677535,0.05502184770427463,-1.05193226021591,0.01119019916604469,415,43,0.9973,interaction heterogeneity: lowcost share 2019
H_cargo share 2019,ln_co2,did_adj,-0.17824848423847062,0.1038973509741168,0.08623141992012982,-0.38188355023685705,0.025386581759915816,415,43,0.9977,interaction heterogeneity: cargo share 2019
H_cargo share 2019,ln_co2,x_cargo,-0.4070541639987377,0.7104149235368794,0.5666576438123982,-1.7994418282107978,0.9853335002133223,415,43,0.9977,interaction heterogeneity: cargo share 2019
H_cargo share 2019,ln_flights,did_adj,-0.12782797544887176,0.07858734464574546,0.10382802715406526,-0.2818563405951695,0.026200389697425996,415,43,0.9973,interaction heterogeneity: cargo share 2019
H_cargo share 2019,ln_flights,x_cargo,0.26458089783062416,0.45647225013976106,0.5621702345876334,-0.6300882723852661,1.1592500680465145,415,43,0.9973,interaction heterogeneity: cargo share 2019
H_tourism arrivals (norm),ln_co2,did_adj,-0.19659662951766865,0.08419811448512236,0.01954712372817849,-0.36162190147468876,-0.03157135756064858,415,43,0.9977,interaction heterogeneity: tourism arrivals (norm)
H_tourism arrivals (norm),ln_co2,x_tourism,-0.010437397478975735,0.01401375568920467,0.456394695431779,-0.03790385391796017,0.0170290589600087,415,43,0.9977,interaction heterogeneity: tourism arrivals (norm)
H_tourism arrivals (norm),ln_flights,did_adj,-0.09176693645395023,0.06969810823645983,0.18796115633679733,-0.228372718387986,0.04483884548008554,415,43,0.9973,interaction heterogeneity: tourism arrivals (norm)
H_tourism arrivals (norm),ln_flights,x_tourism,-0.016411720848319333,0.014037917414823539,0.24236358502356448,-0.04392553339932109,0.011102091702682424,415,43,0.9973,interaction heterogeneity: tourism arrivals (norm)
