model,outcome,var,coef,se,p,lo,hi,N,n_units,R2,note
D1_did_naive_10_19,ln_co2,did,-0.20745655501455768,0.08255461822992013,0.01197224910881167,-0.3692606335026549,-0.04565247652646043,415,43,0.9977,naive GB treated thru 2019 (harmless pre-2021)
D2_did_adj_10_19,ln_co2,did_adj,-0.20745655501455768,0.08255461822992013,0.01197224910881167,-0.3692606335026549,-0.04565247652646043,415,43,0.9977,"main: GB cutoff irrelevant pre-2021, same as D1 check"
D1_did_naive_10_19,ln_flights,did,-0.10884303861904165,0.06776826488167602,0.10825055119387349,-0.2416663970818972,0.02398031984381388,415,43,0.9973,naive GB treated thru 2019 (harmless pre-2021)
D2_did_adj_10_19,ln_flights,did_adj,-0.10884303861904165,0.06776826488167602,0.10825055119387349,-0.2416663970818972,0.02398031984381388,415,43,0.9973,"main: GB cutoff irrelevant pre-2021, same as D1 check"
D1_did_naive_10_19,ln_intensity,did,-0.09861351639551491,0.06885510570725568,0.15208977464597573,-0.23356704373343437,0.03634001094240455,415,43,0.9872,naive GB treated thru 2019 (harmless pre-2021)
D2_did_adj_10_19,ln_intensity,did_adj,-0.09861351639551491,0.06885510570725568,0.15208977464597573,-0.23356704373343437,0.03634001094240455,415,43,0.9872,"main: GB cutoff irrelevant pre-2021, same as D1 check"
D3_did_adj_full,ln_co2,did_adj,-0.22842720031536023,0.1319492419498017,0.08342059550514684,-0.48704296232433325,0.03018856169361278,672,43,0.9945,"includes COVID — reported for completeness, not identified"
D3_did_adj_full,ln_flights,did_adj,-0.14049891190592145,0.10011104661073576,0.16048845649483223,-0.3367129577175742,0.055715133905731296,672,43,0.9934,"includes COVID — reported for completeness, not identified"
D3_did_adj_full,ln_intensity,did_adj,-0.08792828840943777,0.06252227450330622,0.159619803559367,-0.21046969466744486,0.03461311784856931,672,43,0.9812,"includes COVID — reported for completeness, not identified"
D4_did_adj_gdp,ln_co2,did_adj,0.08371430310053107,0.017356156120071492,1.4118784900743094e-06,0.049696862195136506,0.11773174400592565,262,27,0.9982,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_co2,ln_gdp_pc,0.7272092914047241,0.11594007207716919,3.557852648817921e-10,0.49997092576849456,0.9544476570409537,262,27,0.9982,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_flights,did_adj,0.016840419888915936,0.02544926981149974,0.5081474337637258,-0.033039232374466,0.06672007215229787,262,27,0.9976,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_flights,ln_gdp_pc,0.6315712670329846,0.18479087421794224,0.0006313824291025176,0.2693878088941466,0.9937547251718226,262,27,0.9976,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_intensity,did_adj,0.06687388321161535,0.01760769934122632,0.00014587363277853612,0.032363426652202126,0.10138433977102856,262,27,0.9847,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_intensity,ln_gdp_pc,0.09563802437173394,0.15888546313677995,0.5472203250963471,-0.21577176104332116,0.407047809786789,262,27,0.9847,add ln gdp pc; sample = WB-covered states
D5_noGB,ln_co2,did_adj,-0.2058928168232806,0.08302993340828412,0.013147746101070047,-0.3686284959422765,-0.0431571377042847,405,42,0.9976,drop GB entirely
D5_noGB,ln_flights,did_adj,-0.10930097988193702,0.06836103003857587,0.10984760630810321,-0.2432861367036065,0.02468417693973246,405,42,0.9971,drop GB entirely
D5_noGB,ln_intensity,did_adj,-0.09659183694134352,0.06908646670567692,0.1620741400934771,-0.23199882350359582,0.03881514962090879,405,42,0.9869,drop GB entirely
D6_noTiny,ln_co2,did_adj,-0.1807751508759184,0.08813956880734168,0.04026595760494787,-0.353525531351198,-0.008024770400638731,398,41,0.9955,drop states <50k flights/yr
