dropped,group,coef,se,p
AT,treated,-0.20588113166632016,0.08302889735437081,0.013151794750330719
BE,treated,-0.20308122980413776,0.08289971302445102,0.014296664846666415
BG,treated,-0.20748208903376872,0.08305464238036528,0.012484702690921883
CH,treated,-0.2075172325486427,0.0830510266529203,0.012465981094290294
CY,treated,-0.20218495814901546,0.0828342938543947,0.01465329203152547
CZ,treated,-0.20442247639890818,0.08297539770868642,0.0137529698127066
DE,treated,-0.20365104897988326,0.08293540381976715,0.014067381605302126
DK,treated,-0.2071610712769781,0.08305123317769798,0.012617851157221258
EE,treated,-0.2074467205731735,0.08250483689901338,0.011924921639416197
EL,treated,-0.20645202653263753,0.08304356028018238,0.01291628947591757
ES,treated,-0.20503471458165082,0.0830015130116892,0.013501762378684185
FI,treated,-0.20542284627030818,0.08301118666763856,0.013337034217203619
FR,treated,-0.20464528712363844,0.08298612878936062,0.013662446936791717
GB,treated,-0.2058928168232806,0.08302993340828412,0.013147746101070047
HR,treated,-0.21345154103822167,0.08280783009549073,0.009946796138733569
HU,treated,-0.2050142202016783,0.08300118515574689,0.013510716902350452
IE,treated,-0.21112401746087667,0.08296561951845394,0.010936635304352458
IS,treated,-0.22847093905957877,0.07981870404115844,0.004204811430446042
IT,treated,-0.2043481694263719,0.08297377798801454,0.01378551731532553
LI,treated,-0.19565038544847393,0.08181662899637891,0.01678755356033682
LT,treated,-0.21775364936618657,0.08230245621942091,0.008150439413425276
LU,treated,-0.20795926900250392,0.08305413090152448,0.012283261797897828
LV,treated,-0.2068115142475957,0.08279500615722639,0.012494050389535558
MT,treated,-0.21116023486170876,0.08296248523538616,0.01091996418420643
NL,treated,-0.20605444506695136,0.08303390866205493,0.013080506724467957
NO,treated,-0.20759379942475242,0.0830532585004321,0.012435948700464581
PL,treated,-0.21399159803344547,0.08275925808653987,0.009717812071957002
PT,treated,-0.21040161129381385,0.08299831546504016,0.01124439165169294
RO,treated,-0.20998697668990607,0.08301641610798272,0.011423712495153284
SE,treated,-0.2059581837878361,0.08303086686369832,0.01311977384307415
SI,treated,-0.2017070711491522,0.08279597764038135,0.0148427181452056
SK,treated,-0.204933211139255,0.08299962132971975,0.013545862246499082
AL,control,-0.23749085260564873,0.08367689773992004,0.004537030566733773
AM,control,-0.24340190171605686,0.0805889813673858,0.0025253475705349624
BA,control,-0.18686235355657127,0.0873247942061192,0.032366527438967
GE,control,-0.20744778964039126,0.08254802557574176,0.011969042157254355
MC,control,-0.19261162127664894,0.08883048439283822,0.030135455897659428
MD,control,-0.17406997224746013,0.08200637731255374,0.033784075872466277
ME,control,-0.21959728807578527,0.0893623411650898,0.013995430561328511
MK,control,-0.177465964570224,0.08369848515164191,0.033980686710986696
RS,control,-0.200998477892439,0.09012718732806331,0.02573650623995022
TR,control,-0.2028328671291321,0.09027103555375278,0.024644381273513878
XK,control,-0.23925567214990978,0.08282535035043734,0.00386866417880762
