iso,alloc_eur_bn,co2_2019_mt,eff_per_bn,eff_per_mt,pred_residual_mt
GB,10.0,37.3,0.2422,0.0065,34.877
AT,0.0,3.11,0.2423,0.0778,3.115
BG,0.0,0.8,0.2309,0.2887,0.8
BE,0.0,4.88,0.2621,0.0537,4.88
CY,0.0,1.05,0.2685,0.2554,1.051
CZ,0.0,1.44,0.2526,0.1755,1.439
DE,0.0,31.09,0.2581,0.0083,31.089
CH,0.0,5.82,0.2307,0.0396,5.823
DK,0.0,3.1,0.2332,0.0752,3.101
EE,0.0,0.21,0.26,1.2379,0.21
ES,0.0,22.04,0.2483,0.0113,22.037
EL,0.0,4.43,0.2383,0.0538,4.43
FI,0.0,2.68,0.2455,0.0918,2.675
FR,0.0,22.4,0.2511,0.0112,22.402
HR,0.0,0.71,0.2837,0.3998,0.71
HU,0.0,1.1,0.2484,0.2253,1.102
IE,0.0,3.3,0.2051,0.0621,3.305
IS,0.0,0.52,0.0821,0.1589,0.517
IT,0.0,15.11,0.2532,0.0168,15.107
LI,0.0,0.0,0.7474,422970.5547,0.0
LT,0.0,0.39,0.1724,0.438,0.394
LU,0.0,1.77,0.2275,0.1283,1.773
LV,0.0,0.49,0.2561,0.5181,0.494
MT,0.0,0.52,0.2048,0.3952,0.518
NL,0.0,11.14,0.2411,0.0216,11.144
NO,0.0,3.11,0.3253,0.1045,3.113
PL,0.0,3.27,0.1964,0.0601,3.267
PT,0.0,5.26,0.2102,0.04,5.257
RO,0.0,1.47,0.2277,0.1544,1.475
SE,0.0,3.23,0.2562,0.0792,3.234
SI,0.0,0.12,0.3717,3.1875,0.117
SK,0.0,0.19,0.347,1.823,0.19
