iso,alloc_eur_bn,co2_2019_mt,eff_per_bn,pred_abate_mt
GB,1.939,37.3,0.2422,0.47
DE,1.622,31.09,0.2581,0.419
FR,1.166,22.4,0.2511,0.293
ES,1.147,22.04,0.2483,0.285
IT,0.785,15.11,0.2532,0.199
NL,0.581,11.14,0.2411,0.14
CH,0.303,5.82,0.2307,0.07
PT,0.274,5.26,0.2102,0.058
BE,0.254,4.88,0.2621,0.067
EL,0.231,4.43,0.2383,0.055
IE,0.172,3.3,0.2051,0.035
PL,0.17,3.27,0.1964,0.033
SE,0.169,3.23,0.2562,0.043
NO,0.162,3.11,0.3253,0.053
AT,0.162,3.11,0.2423,0.039
DK,0.161,3.1,0.2332,0.038
FI,0.139,2.68,0.2455,0.034
LU,0.092,1.77,0.2275,0.021
RO,0.077,1.47,0.2277,0.017
CZ,0.075,1.44,0.2526,0.019
HU,0.057,1.1,0.2484,0.014
CY,0.055,1.05,0.2685,0.015
BG,0.042,0.8,0.2309,0.01
HR,0.037,0.71,0.2837,0.01
MT,0.027,0.52,0.2048,0.006
IS,0.027,0.52,0.0821,0.002
LV,0.026,0.49,0.2561,0.007
LT,0.02,0.39,0.1724,0.004
EE,0.011,0.21,0.26,0.003
SK,0.01,0.19,0.347,0.003
SI,0.006,0.12,0.3717,0.002
LI,0.0,0.0,0.7474,0.0
