year,actual_idx,syn_idx,treated_rel_synth_pct
2010,14861.465745350995,249684.4336924724,-94.05
2011,38079.38171429239,1620854.9675611884,-97.65
2012,14669.98989766078,4766549.179048854,-99.69
2013,29567.942363178663,134835703.08546397,-99.98
2014,136264.79037433767,873844467.0502785,-99.98
2015,430923.7220442413,9772702352.312057,-100.0
2016,3560776.0603441275,3117873519.378496,-99.89
2017,35445129.72212644,110328021976.06505,-99.97
2018,369625684.47678876,999461441966.2428,-99.96
2019,434029702.524528,14093621112267.83,-100.0
