iso,ym,ln_co2_cf,year
AL,202003,9.229533947915074,2020
AL,202004,9.318523784694218,2020
AL,202005,9.341494459063155,2020
AL,202006,9.457458136997664,2020
AL,202007,9.67435926538521,2020
AL,202008,9.756145872357475,2020
AL,202009,9.593388370855074,2020
AL,202010,9.391146948298754,2020
AL,202011,9.259221135176073,2020
AL,202012,9.388560618982726,2020
AL,202101,9.365639618049205,2021
AL,202102,9.149910594345796,2021
AL,202103,9.277981158500895,2021
AL,202104,9.366970995280038,2021
AL,202105,9.389941669648975,2021
AL,202106,9.505905347583484,2021
AL,202107,9.722806475971028,2021
AL,202108,9.804593082943295,2021
AL,202109,9.641835581440894,2021
AL,202110,9.439594158884574,2021
AL,202111,9.307668345761893,2021
AL,202112,9.437007829568547,2021
AM,202003,9.7151527388868,2020
AM,202004,9.8046935411354,2020
AM,202005,9.876252113317461,2020
AM,202006,9.938832825997302,2020
AM,202007,10.086641438494675,2020
AM,202008,10.130823304989043,2020
AM,202009,9.990140891762843,2020
AM,202010,9.941628019214393,2020
AM,202011,9.799960670185547,2020
AM,202012,9.905759009125775,2020
AM,202101,9.73687414658079,2021
AM,202102,9.583389178707483,2021
AM,202103,9.732332542762265,2021
AM,202104,9.821873345010863,2021
AM,202105,9.893431917192926,2021
AM,202106,9.956012629872765,2021
AM,202107,10.103821242370138,2021
AM,202108,10.148003108864506,2021
AM,202109,10.007320695638306,2021
AM,202110,9.958807823089856,2021
AM,202111,9.81714047406101,2021
AM,202112,9.92293881300124,2021
AT,202003,12.353268345369202,2020
AT,202004,12.361148748361344,2020
AT,202005,12.436371972740108,2020
AT,202006,12.463502871961458,2020
AT,202007,12.5107220973047,2020
AT,202008,12.496996901507666,2020
AT,202009,12.470843996088085,2020
AT,202010,12.430019376748827,2020
AT,202011,12.287426316325929,2020
AT,202012,12.294831766570208,2020
AT,202101,12.303710347924175,2021
AT,202102,12.228481961956023,2021
AT,202103,12.3836243992794,2021
AT,202104,12.391504802271541,2021
AT,202105,12.466728026650305,2021
AT,202106,12.493858925871654,2021
AT,202107,12.541078151214897,2021
AT,202108,12.527352955417863,2021
AT,202109,12.501200049998282,2021
AT,202110,12.460375430659024,2021
AT,202111,12.317782370236126,2021
AT,202112,12.325187820480407,2021
BA,202003,8.979280618144035,2020
BA,202004,9.231268648506548,2020
BA,202005,9.29712263700829,2020
BA,202006,9.471695725163361,2020
BA,202007,9.69836598909254,2020
BA,202008,9.718424926690322,2020
BA,202009,9.495828593496174,2020
BA,202010,9.304513523832158,2020
BA,202011,9.037758124315673,2020
BA,202012,8.967166619383534,2020
BA,202101,8.982138020834892,2021
BA,202102,8.906110197696062,2021
BA,202103,9.112026183199278,2021
BA,202104,9.364014213561791,2021
BA,202105,9.429868202063533,2021
BA,202106,9.604441290218602,2021
BA,202107,9.831111554147782,2021
BA,202108,9.851170491745565,2021
BA,202109,9.628574158551418,2021
BA,202110,9.437259088887402,2021
BA,202111,9.170503689370916,2021
BA,202112,9.099912184438777,2021
BE,202003,12.819893926153526,2020
BE,202004,12.830999999518935,2020
BE,202005,12.90960533010959,2020
BE,202006,12.91511660704421,2020
BE,202007,12.9861913959948,2020
BE,202008,12.968493545141962,2020
BE,202009,12.926717119144161,2020
BE,202010,12.913468064290155,2020
BE,202011,12.832591857506642,2020
BE,202012,12.811236302049016,2020
BE,202101,12.772363066496315,2021
BE,202102,12.708251296544262,2021
BE,202103,12.840313974406463,2021
BE,202104,12.851420047771873,2021
BE,202105,12.930025378362528,2021
BE,202106,12.935536655297147,2021
BE,202107,13.006611444247737,2021
BE,202108,12.988913593394898,2021
BE,202109,12.947137167397099,2021
BE,202110,12.933888112543093,2021
BE,202111,12.85301190575958,2021
BE,202112,12.831656350301952,2021
BG,202003,10.662827097990798,2020
BG,202004,10.731376163378759,2020
BG,202005,11.07792469372182,2020
BG,202006,11.655042469944593,2020
BG,202007,11.849805243422649,2020
BG,202008,11.84485249043882,2020
BG,202009,11.524161497182673,2020
BG,202010,10.865585403895654,2020
BG,202011,10.59741859284389,2020
BG,202012,10.670871415872725,2020
BG,202101,10.73165656236192,2021
BG,202102,10.622783330386682,2021
BG,202103,10.714420144360485,2021
BG,202104,10.782969209748446,2021
BG,202105,11.129517740091506,2021
BG,202106,11.70663551631428,2021
BG,202107,11.901398289792334,2021
BG,202108,11.896445536808507,2021
BG,202109,11.57575454355236,2021
BG,202110,10.91717845026534,2021
BG,202111,10.649011639213578,2021
BG,202112,10.72246446224241,2021
CH,202003,13.105087713874596,2020
CH,202004,13.07957243440404,2020
CH,202005,13.12791136575526,2020
CH,202006,13.145407624655023,2020
CH,202007,13.21665766638856,2020
CH,202008,13.205893858165895,2020
CH,202009,13.15607138259923,2020
CH,202010,13.160454545952522,2020
CH,202011,13.028531666098564,2020
CH,202012,13.088308888707173,2020
CH,202101,13.12202888112365,2021
CH,202102,13.022097203445016,2021
CH,202103,13.13537129039584,2021
CH,202104,13.109856010925284,2021
CH,202105,13.158194942276504,2021
CH,202106,13.175691201176267,2021
CH,202107,13.246941242909804,2021
CH,202108,13.23617743468714,2021
CH,202109,13.186354959120473,2021
CH,202110,13.190738122473768,2021
CH,202111,13.05881524261981,2021
CH,202112,13.118592465228419,2021
CY,202003,10.921911932128191,2020
CY,202004,11.271997009740788,2020
CY,202005,11.58693001083457,2020
CY,202006,11.643177989458492,2020
CY,202007,11.726678438259327,2020
CY,202008,11.727904876605074,2020
CY,202009,11.659596748715819,2020
CY,202010,11.580957171140028,2020
CY,202011,10.992977686874424,2020
CY,202012,10.779845544133675,2020
CY,202101,10.706625573156682,2021
CY,202102,10.640579166586173,2021
CY,202103,10.936569663951529,2021
CY,202104,11.286654741564124,2021
CY,202105,11.601587742657905,2021
CY,202106,11.657835721281828,2021
CY,202107,11.741336170082663,2021
CY,202108,11.742562608428411,2021
CY,202109,11.674254480539155,2021
CY,202110,11.595614902963364,2021
CY,202111,11.00763541869776,2021
CY,202112,10.79450327595701,2021
CZ,202003,11.422889584872765,2020
CZ,202004,11.50710914316254,2020
CZ,202005,11.641978479484127,2020
CZ,202006,11.825492892628837,2020
CZ,202007,11.89835775298835,2020
CZ,202008,11.90329117080099,2020
CZ,202009,11.851587645389763,2020
CZ,202010,11.675213641619154,2020
CZ,202011,11.424036034438735,2020
CZ,202012,11.425736971003515,2020
CZ,202101,11.374805768418925,2021
CZ,202102,11.262803297868922,2021
CZ,202103,11.45849763849245,2021
CZ,202104,11.542717196782224,2021
CZ,202105,11.677586533103813,2021
CZ,202106,11.861100946248522,2021
CZ,202107,11.933965806608034,2021
CZ,202108,11.938899224420677,2021
CZ,202109,11.88719569900945,2021
CZ,202110,11.71082169523884,2021
CZ,202111,11.459644088058422,2021
CZ,202112,11.461345024623201,2021
DE,202003,14.726795179045563,2020
DE,202004,14.726018786336253,2020
DE,202005,14.816192945951737,2020
DE,202006,14.816499295011791,2020
DE,202007,14.863221254139674,2020
DE,202008,14.856888154132257,2020
DE,202009,14.837104307941875,2020
DE,202010,14.842761993265224,2020
DE,202011,14.698290712452165,2020
DE,202012,14.654379822834938,2020
DE,202101,14.655775081116708,2021
DE,202102,14.58303039016823,2021
DE,202103,14.737919702389753,2021
DE,202104,14.737143309680443,2021
DE,202105,14.827317469295926,2021
DE,202106,14.827623818355981,2021
DE,202107,14.874345777483864,2021
DE,202108,14.868012677476447,2021
DE,202109,14.848228831286063,2021
DE,202110,14.853886516609414,2021
DE,202111,14.709415235796355,2021
DE,202112,14.665504346179127,2021
DK,202003,12.472851581889813,2020
DK,202004,12.433941883707343,2020
DK,202005,12.513527369977457,2020
DK,202006,12.586474900267666,2020
DK,202007,12.659905587714329,2020
DK,202008,12.612048727619635,2020
DK,202009,12.545737058929655,2020
DK,202010,12.555075574888376,2020
DK,202011,12.403986479449392,2020
DK,202012,12.364617225376971,2020
DK,202101,12.41190093231598,2021
DK,202102,12.356305966846056,2021
DK,202103,12.500697328519392,2021
DK,202104,12.461787630336921,2021
DK,202105,12.541373116607035,2021
DK,202106,12.614320646897244,2021
DK,202107,12.687751334343908,2021
DK,202108,12.639894474249214,2021
DK,202109,12.573582805559234,2021
DK,202110,12.582921321517954,2021
DK,202111,12.43183222607897,2021
DK,202112,12.39246297200655,2021
EE,202003,9.757461489118587,2020
EE,202004,9.776685087194439,2020
EE,202005,9.897971433845566,2020
EE,202006,9.901176761427765,2020
EE,202007,9.9330355601543,2020
EE,202008,9.940388252621396,2020
EE,202009,9.917341548554102,2020
EE,202010,9.932237118857577,2020
EE,202011,9.728444246033433,2020
EE,202012,9.684318617545149,2020
EE,202101,9.672132801454785,2021
EE,202102,9.586700503150823,2021
EE,202103,9.786496679484644,2021
EE,202104,9.805720277560496,2021
EE,202105,9.927006624211623,2021
