scenario,year,ets,mc_mean,mc_p05,mc_p95
Aggressive_8pct,2022,57.9,119.35,74.46,178.65
Aggressive_8pct,2023,62.5,117.97,70.09,179.36
Aggressive_8pct,2024,67.5,118.13,70.96,181.22
Aggressive_8pct,2025,72.9,117.94,69.17,181.66
Aggressive_8pct,2026,78.8,117.18,68.95,181.17
Aggressive_8pct,2027,85.1,117.55,69.41,180.43
Aggressive_8pct,2028,91.9,116.91,68.4,184.93
Aggressive_8pct,2029,99.2,115.37,67.0,181.24
Aggressive_8pct,2030,107.1,114.67,65.12,180.41
Moderate_plus3,2022,56.6,119.91,73.02,179.28
Moderate_plus3,2023,59.6,118.61,72.36,181.28
Moderate_plus3,2024,62.6,119.15,72.74,184.12
Moderate_plus3,2025,65.6,117.42,71.79,183.08
Moderate_plus3,2026,68.6,118.57,71.0,182.59
Moderate_plus3,2027,71.6,118.66,71.07,180.62
Moderate_plus3,2028,74.6,117.54,70.12,181.54
Moderate_plus3,2029,77.6,116.92,68.57,180.12
Moderate_plus3,2030,80.6,117.25,71.71,180.97
Flat_2021,2022,53.6,119.93,73.36,181.38
Flat_2021,2023,53.6,119.85,72.11,180.86
Flat_2021,2024,53.6,119.05,72.8,178.68
Flat_2021,2025,53.6,120.35,72.9,184.81
Flat_2021,2026,53.6,120.21,73.21,180.36
Flat_2021,2027,53.6,119.05,75.08,178.02
Flat_2021,2028,53.6,119.73,74.29,180.25
Flat_2021,2029,53.6,118.75,73.21,180.89
Flat_2021,2030,53.6,120.57,72.23,181.86
