iso,years,n,treated,co2_mt,co2_pf
AL,2010-2025,16,0,0.18,11.2
AM,2010-2025,16,0,0.27,20.6
AT,2010-2025,16,1,2.34,14.3
BA,2010-2025,16,0,0.09,10.0
BE,2010-2025,16,1,4.44,29.6
BG,2010-2025,16,1,0.65,16.0
CH,2010-2025,16,1,4.79,20.6
CY,2010-2025,16,1,0.91,25.7
CZ,2010-2025,16,1,1.04,13.7
DE,2010-2025,16,1,26.82,26.1
DK,2010-2025,16,1,2.55,15.3
EE,2017-2025,9,1,0.18,9.0
EL,2010-2025,16,1,3.68,14.6
ES,2010-2025,16,1,18.16,19.3
FI,2010-2025,16,1,2.03,18.1
FR,2010-2025,16,1,19.32,21.4
GB,2010-2025,16,1,31.36,28.9
GE,2014-2025,12,0,0.44,21.8
HR,2010-2025,16,1,0.5,9.6
HU,2010-2025,16,1,0.85,15.5
IE,2010-2025,16,1,2.48,20.0
IS,2010-2025,16,1,0.39,17.5
IT,2010-2025,16,1,12.39,15.9
LI,2010-2025,12,1,0.0,0.6
LT,2010-2025,16,1,0.3,11.6
LU,2010-2025,16,1,1.52,49.3
LV,2011-2025,15,1,0.37,11.5
MC,2010-2025,16,0,0.0,0.6
MD,2010-2025,16,0,0.15,13.0
ME,2010-2025,16,0,0.11,10.1
MK,2010-2025,16,0,0.1,12.0
MT,2010-2025,16,1,0.39,16.8
NL,2010-2025,16,1,9.85,35.1
NO,2010-2025,16,1,2.69,7.7
PL,2010-2025,16,1,2.51,13.1
PT,2010-2025,16,1,4.09,21.1
RO,2010-2025,16,1,1.14,13.0
RS,2010-2025,16,0,0.37,11.1
SE,2010-2025,16,1,2.6,11.0
SI,2010-2025,16,1,0.1,6.9
SK,2010-2025,16,1,0.14,9.5
TR,2010-2025,16,0,13.77,23.0
XK,2010-2025,16,0,0.13,13.5
