model,outcome,var,coef,se,p,lo,hi,N,R2,note
D1_did_naive_10_19,ln_co2,did,-0.2074565550145576,0.0825546182299201,0.0119722491088116,-0.3692606335026549,-0.0456524765264604,415,0.9977,naive GB treated thru 2019 (harmless pre-2021)
D2_did_adj_10_19,ln_co2,did_adj,-0.2074565550145576,0.0825546182299201,0.0119722491088116,-0.3692606335026549,-0.0456524765264604,415,0.9977,"main: GB cutoff irrelevant pre-2021, same as D1 check"
D1_did_naive_10_19,ln_flights,did,-0.1088430386190416,0.067768264881676,0.1082505511938734,-0.2416663970818972,0.0239803198438138,415,0.9973,naive GB treated thru 2019 (harmless pre-2021)
D2_did_adj_10_19,ln_flights,did_adj,-0.1088430386190416,0.067768264881676,0.1082505511938734,-0.2416663970818972,0.0239803198438138,415,0.9973,"main: GB cutoff irrelevant pre-2021, same as D1 check"
D1_did_naive_10_19,ln_intensity,did,-0.0986135163955149,0.0688551057072556,0.1520897746459757,-0.2335670437334343,0.0363400109424045,415,0.9872,naive GB treated thru 2019 (harmless pre-2021)
D2_did_adj_10_19,ln_intensity,did_adj,-0.0986135163955149,0.0688551057072556,0.1520897746459757,-0.2335670437334343,0.0363400109424045,415,0.9872,"main: GB cutoff irrelevant pre-2021, same as D1 check"
D3_did_adj_full,ln_co2,did_adj,-0.2284272003153602,0.1319492419498017,0.0834205955051468,-0.4870429623243332,0.0301885616936127,672,0.9945,"includes COVID — reported for completeness, not identified"
D3_did_adj_full,ln_flights,did_adj,-0.1404989119059214,0.1001110466107357,0.1604884564948322,-0.3367129577175742,0.0557151339057312,672,0.9934,"includes COVID — reported for completeness, not identified"
D3_did_adj_full,ln_intensity,did_adj,-0.0879282884094377,0.0625222745033062,0.159619803559367,-0.2104696946674448,0.0346131178485693,672,0.9812,"includes COVID — reported for completeness, not identified"
D4_did_adj_gdp,ln_co2,did_adj,0.083714303100531,0.0173561561200714,1.4118784900743094e-06,0.0496968621951365,0.1177317440059256,262,0.9982,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_co2,ln_gdp_pc,0.7272092914047241,0.1159400720771691,3.557852648817921e-10,0.4999709257684945,0.9544476570409536,262,0.9982,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_flights,did_adj,0.0168404198889159,0.0254492698114997,0.5081474337637258,-0.033039232374466,0.0667200721522978,262,0.9976,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_flights,ln_gdp_pc,0.6315712670329846,0.1847908742179422,0.0006313824291025,0.2693878088941466,0.9937547251718226,262,0.9976,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_intensity,did_adj,0.0668738832116153,0.0176076993412263,0.0001458736327785,0.0323634266522021,0.1013843397710285,262,0.9847,add ln gdp pc; sample = WB-covered states
D4_did_adj_gdp,ln_intensity,ln_gdp_pc,0.0956380243717339,0.1588854631367799,0.5472203250963471,-0.2157717610433211,0.407047809786789,262,0.9847,add ln gdp pc; sample = WB-covered states
D5_noGB,ln_co2,did_adj,-0.2058928168232806,0.0830299334082841,0.01314774610107,-0.3686284959422765,-0.0431571377042847,405,0.9976,drop GB entirely
D5_noGB,ln_flights,did_adj,-0.109300979881937,0.0683610300385758,0.1098476063081032,-0.2432861367036065,0.0246841769397324,405,0.9971,drop GB entirely
D5_noGB,ln_intensity,did_adj,-0.0965918369413435,0.0690864667056769,0.1620741400934771,-0.2319988235035958,0.0388151496209087,405,0.9869,drop GB entirely
D6_noTiny,ln_co2,did_adj,-0.1807751508759184,0.0881395688073416,0.0402659576049478,-0.353525531351198,-0.0080247704006387,398,0.9955,drop states <50k flights/yr
